744.1.1={holder=1019910097} #Kingudlerk[1009990068]
791.09.20={holder=1019910099} #Makoktok[1009990068]
817.12.09={holder=1019910105} #Pikatti[1009990068]
843.01.26={holder=1019910112} #Kinaktok[1009990068]
854.09.01={holder=1019910117} #Umiak[1009990068]
915.09.16={holder=1019910124} #Uyarak[1009990068]
927.12.04={holder=1019910126} #Tingenek[1009990068]
942.12.04={holder=1019910128} #Keelut[1009990068]
987.07.01={holder=1019910130} #Chulyin[1009990068]
1034.03.23={holder=1019910138} #Piaktok[1009990068]
1043.11.14={holder=1019910139} #Tomkin[1009990068]
1073.01.19={holder=1019910148} #Eska[1009990068]
1091.09.23={holder=1019910149} #Kamik[1009990068]
1111.12.06={holder=1019910154} #Itigiaq[1009990068]
1152.03.23={holder=1019910156} #Shesh[1009990068]
1173.07.27={holder=1019910158} #Sedna[1009990068]
1182.01.22={holder=1019910163} #Sedna[1009990068]
1223.08.11={holder=1019910165} #Oogrooq[1009990068]
1253.09.12={holder=1019910170} #Iyaroak[1009990068]
1279.02.14={holder=1019910172} #Buniq[1009990068]
1294.11.15={holder=1019910176} #Nunataq[1009990068]
1300.07.12={holder=1019910180} #Tiquana[1009990068]
1345.01.29={holder=1019910184} #Kinapak[1009990068]
1356.06.10={holder=1019910187} #Kirima[1009990068]
1399.08.24={holder=1019910191} #Iqniq[1009990068]

