745.1.1={holder=1019922032} #Ebedimu[1009990188]
795.04.24={holder=1019922034} #Wiwakaleme[1009990188]
823.05.21={holder=1019922037} #Pirijá[1009990188]
857.06.14={holder=1019922041} #Haubariria[1009990188]
880.10.12={holder=1019922047} #Kaigouchi[1009990188]
930.12.06={holder=1019922051} #Semén[1009990188]
932.03.09={holder=1019922053} #Kaigouchi[1009990188]
973.08.14={holder=1019922057} #Laliwa[1009990188]
994.12.13={holder=1019922060} #Kaigouchi[1009990188]
1034.08.13={holder=1019922066} #Gunfuli[1009990188]
1060.07.31={holder=1019922068} #Haubariria[1009990188]
1096.02.21={holder=1019922069} #Arah[1009990188]
1107.12.21={holder=1019922072} #Haubariria[1009990188]
1170.04.29={holder=1019922077} #Haubariria[1009990188]
1173.11.16={holder=1019922081} #Áhari[1009990188]
1225.01.28={holder=1019922087} #Haubariria[1009990188]
1251.07.09={holder=1019922089} #Wiwakaleme[1009990188]
1272.10.03={holder=1019922090} #Arah[1009990188]
1339.04.03={holder=1019922096} #Mbicy[1009990188]
1364.03.12={holder=1019922097} #Ilumani[1009990188]
1365.12.12={holder=1019922101} #Wiwakaleme[1009990188]
1399.11.09={holder=1019922103} #Ilumani[1009990188]
1410.12.05={holder=1019922107} #Haubariria[1009990188]
1462.01.07={holder=1019922109} #Shoko[1009990188]
1478.06.09={holder=1019922113} #Shoko[1009990188]
