744.1.1={holder=1019922600} #Kaigouchi[1009990194]
765.11.17={holder=1019922601} #Semén[1009990194]
795.03.08={holder=1019922605} #Laliwa[1009990194]
817.07.13={holder=1019922609} #Ebedimu[1009990194]
856.10.17={holder=1019922612} #Toratora[1009990194]
890.01.19={holder=1019922614} #Toratora[1009990194]
930.03.12={holder=1019922618} #Ilumani[1009990194]
943.07.18={holder=1019922623} #Pirijá[1009990194]
978.11.23={holder=1019922627} #Gunfuli[1009990194]
982.02.09={holder=1019922634} #Toruí[1009990194]
1028.07.12={holder=1019922637} #Haubariria[1009990194]
1040.09.23={holder=1019922642} #Amorotahe[1009990194]
1058.01.26={holder=1019922644} #Haubariria[1009990194]
1092.06.18={holder=1019922649} #Arah[1009990194]
1129.03.18={holder=1019922653} #Pirijá[1009990194]
1132.04.25={holder=1019922660} #Áhari[1009990194]
1171.07.24={holder=1019922665} #Haubariria[1009990194]
1223.12.09={holder=1019922670} #Pirijá[1009990194]
1225.05.28={holder=1019922673} #Semén[1009990194]
1257.08.28={holder=1019922681} #Amorotahe[1009990194]
1285.06.10={holder=1019922683} #Ilumani[1009990194]
1299.02.20={holder=1019922686} #Ilumani[1009990194]
1334.01.17={holder=1019922689} #Ilumani[1009990194]
1338.05.26={holder=1019922692} #Ilumani[1009990194]
1372.12.24={holder=1019922696} #Toratora[1009990194]
