745.1.1={holder=1019918211} #Lamochattee[1009990149]
791.08.15={holder=1019918216} #Opototaache[1009990149]
824.06.08={holder=1019918217} #Opototaache[1009990149]
874.10.29={holder=1019918221} #Fife[1009990149]
898.02.28={holder=1019918223} #Tuskenaah[1009990149]
928.04.10={holder=1019918224} #Muthtee[1009990149]
930.05.24={holder=1019918228} #Emistesigo[1009990149]
979.02.10={holder=1019918235} #Totkeshajou[1009990149]
1006.09.14={holder=1019918236} #Tuskenaah[1009990149]
1042.06.20={holder=1019918240} #Opaymico[1009990149]
1049.04.26={holder=1019918245} #Emistesigo[1009990149]
1100.11.08={holder=1019918248} #Juleetaulematah[1009990149]
1133.05.07={holder=1019918250} #Chawooklymico[1009990149]
1158.08.11={holder=1019918256} #"Mico[1009990149]
1184.08.22={holder=1019918258} #Opaymico[1009990149]
1211.06.24={holder=1019918261} #Opototaache[1009990149]
1229.05.20={holder=1019918265} #Hallethemalthle[1009990149]
1233.10.08={holder=1019918270} #Hatke[1009990149]
1263.03.23={holder=1019918273} #Malatchi"[1009990149]
1295.10.25={holder=1019918279} #Chawooklymico[1009990149]
1304.11.21={holder=1019918282} #Fuskatchemico[1009990149]
1341.05.02={holder=1019918287} #Fife[1009990149]
1366.11.18={holder=1019918290} #Emistesigo[1009990149]
1392.06.02={holder=1019918294} #"Mico[1009990149]
1401.02.22={holder=1019918298} #Tuskenaah[1009990149]
