745.1.1={holder=1019923590} #Ruminavi[1009990204]
806.12.17={holder=1019923591} #Sahuaraura[1009990204]
807.05.25={holder=1019923595} #Pascac[1009990204]
808.04.12={holder=1019923602} #Sahuaraura[1009990204]
879.03.13={holder=1019923607} #Luyes[1009990204]
884.01.28={holder=1019923609} #Taraque[1009990204]
916.05.13={holder=1019923612} #Ninan[1009990204]
937.02.19={holder=1019923619} #Guaritopa[1009990204]
983.06.29={holder=1019923625} #Sopa[1009990204]
984.01.24={holder=1019923630} #Sopa[1009990204]
1000.01.29={holder=1019923633} #Surandaman[1009990204]
1025.08.08={holder=1019923636} #Umu[1009990204]
1087.05.06={holder=1019923638} #Cuyuchi[1009990204]
1103.08.07={holder=1019923642} #Pumi[1009990204]
1130.01.03={holder=1019923648} #Atoc[1009990204]
1153.03.31={holder=1019923649} #Tucuycuyche[1009990204]
1199.03.19={holder=1019923654} #Anquimarca[1009990204]
1212.07.11={holder=1019923660} #Usca[1009990204]
1242.08.12={holder=1019923663} #Guaritopa[1009990204]
1293.08.26={holder=1019923665} #Titu[1009990204]
1305.05.21={holder=1019923671} #Marcavilca[1009990204]
1334.11.03={holder=1019923675} #Yamqui[1009990204]
1350.08.27={holder=1019923677} #Surandaman[1009990204]
1367.04.16={holder=1019923681} #Atoc[1009990204]
1406.08.27={holder=1019923687} #Luyes[1009990204]
