744.1.1={holder=1019916678} #Toheonggo[1009990134]
783.11.12={holder=1019916679} #Onogwendahonji[1009990134]
812.07.23={holder=1019916681} #Kendarindgon[1009990134]
838.07.03={holder=1019916685} #Oncahye[1009990134]
877.12.01={holder=1019916690} #Twaukewasha[1009990134]
909.07.12={holder=1019916691} #Owenewa[1009990134]
923.03.05={holder=1019916696} #Neeshonshuk[1009990134]
955.01.30={holder=1019916699} #Soaheas[1009990134]
996.09.28={holder=1019916706} #Tekahias[1009990134]
999.07.06={holder=1019916713} #Dagaheari[1009990134]
1031.01.19={holder=1019916718} #Tekahias[1009990134]
1082.10.16={holder=1019916722} #Oneshauee[1009990134]
1108.01.01={holder=1019916728} #Sohhonteoquent[1009990134]
1134.10.29={holder=1019916733} #Kiatulaho[1009990134]
1145.07.05={holder=1019916738} #Tehongyagauna[1009990134]
1163.11.23={holder=1019916742} #Aqueia[1009990134]
1205.08.19={holder=1019916746} #Owenewa[1009990134]
1235.05.13={holder=1019916749} #Tekahias[1009990134]
1237.04.12={holder=1019916752} #Konyootiayoo[1009990134]
1271.02.16={holder=1019916757} #Kaunehshonggoo[1009990134]
1314.06.18={holder=1019916760} #Shaguiesa[1009990134]
1314.07.01={holder=1019916764} #Kiantwhauka[1009990134]
1338.03.30={holder=1019916768} #Konoohqung[1009990134]
1376.06.20={holder=1019916775} #Kiantwhauka[1009990134]
1422.11.24={holder=1019916778} #Kohnyeaugaong[1009990134]
