745.1.1={holder=1019912784} #Utanukueu[1009990095]
782.02.11={holder=1019912785} #Tumassat[1009990095]
791.06.07={holder=1019912789} #Ashtunishish[1009990095]
826.04.22={holder=1019912794} #Aissimess[1009990095]
841.07.19={holder=1019912799} #Napess[1009990095]
868.01.09={holder=1019912802} #Shuashem[1009990095]
898.01.17={holder=1019912810} #Kautatikumit[1009990095]
963.11.01={holder=1019912814} #Natupaniu[1009990095]
968.06.23={holder=1019912817} #Uitshitshimushish[1009990095]
982.03.26={holder=1019912819} #Kapinien[1009990095]
1031.03.05={holder=1019912826} #Kashupasset[1009990095]
1037.03.21={holder=1019912828} #Mishtauiapeu[1009990095]
1072.01.31={holder=1019912833} #Napess[1009990095]
1094.04.26={holder=1019912834} #Napeutiku[1009990095]
1120.05.20={holder=1019912838} #Shakani[1009990095]
1159.04.11={holder=1019912839} #Kautatikumit[1009990095]
1185.03.18={holder=1019912844} #Uniam[1009990095]
1200.11.15={holder=1019912847} #Kauitshi-Katshinat[1009990095]
1245.05.08={holder=1019912851} #Tshimushuminu[1009990095]
1250.03.12={holder=1019912856} #Mishta-Napesh[1009990095]
1285.02.16={holder=1019912857} #Shakani[1009990095]
1332.10.06={holder=1019912862} #Kashupasset[1009990095]
1342.03.23={holder=1019912864} #Apinam[1009990095]
1372.10.13={holder=1019912868} #Mishtauiapeu[1009990095]
1414.06.07={holder=1019912872} #Tshishennish[1009990095]
