744.1.1={holder=1019910679} #Tuwawi[1009990074]
777.05.06={holder=1019910680} #Tornuaq[1009990074]
809.02.11={holder=1019910685} #Nutaralak[1009990074]
842.06.17={holder=1019910688} #Noatak[1009990074]
857.03.07={holder=1019910692} #Atkonartok[1009990074]
897.05.16={holder=1019910696} #Piktaungitok[1009990074]
900.04.12={holder=1019910700} #Sitiyok[1009990074]
947.11.27={holder=1019910704} #Akkilokipok[1009990074]
946.05.23={holder=1019910714} #Anana[1009990074]
976.12.22={holder=1019910715} #Tulukaruk[1009990074]
1017.01.23={holder=1019910717} #Kinguyakkii[1009990074]
1052.10.18={holder=1019910723} #Sitiyok[1009990074]
1044.10.09={holder=1019910728} #Sedna[1009990074]
1089.01.30={holder=1019910730} #Aquutaq[1009990074]
1107.06.21={holder=1019910735} #Tarralikitak[1009990074]
1147.06.08={holder=1019910742} #Anyu[1009990074]
1154.04.16={holder=1019910745} #Aput[1009990074]
1188.07.25={holder=1019910748} #Anuniaq[1009990074]
1210.03.14={holder=1019910752} #Biisaiyowaq[1009990074]
1225.04.13={holder=1019910755} #Anana[1009990074]
1266.06.14={holder=1019910759} #Pukiq[1009990074]
1277.07.27={holder=1019910764} #Iglopuk[1009990074]
1310.06.12={holder=1019910767} #Cupun[1009990074]
1326.06.21={holder=1019910769} #Suluk[1009990074]
1355.10.13={holder=1019910772} #Qannik[1009990074]
