745.1.1={holder=1019910586} #Miki[1009990073]
773.07.21={holder=1019910587} #Nilak[1009990073]
797.07.31={holder=1019910590} #Chulyin[1009990073]
835.09.19={holder=1019910592} #Illiivat[1009990073]
868.05.11={holder=1019910594} #Nerromiktok[1009990073]
873.11.03={holder=1019910598} #Issorartuyok[1009990073]
921.06.22={holder=1019910602} #Sesi[1009990073]
930.01.14={holder=1019910603} #Anernerk[1009990073]
944.04.11={holder=1019910607} #Piaktok[1009990073]
989.11.11={holder=1019910612} #Tingenek[1009990073]
1014.03.06={holder=1019910616} #Tunerk[1009990073]
1029.04.13={holder=1019910619} #Iluliaq[1009990073]
1081.01.12={holder=1019910621} #Uglu[1009990073]
1096.12.09={holder=1019910625} #Nasamiituuq[1009990073]
1103.03.21={holder=1019910630} #Anuniaq[1009990073]
1147.05.09={holder=1019910634} #Irdlirvirisissong[1009990073]
1168.04.02={holder=1019910640} #Tingenek[1009990073]
1189.04.03={holder=1019910642} #Shila[1009990073]
1225.12.02={holder=1019910647} #Tukkuttok[1009990073]
1250.09.29={holder=1019910649} #Makpigat[1009990073]
1279.08.16={holder=1019910654} #Ublureak[1009990073]
1286.02.16={holder=1019910661} #Amaguq[1009990073]
1320.08.25={holder=1019910666} #Keelut[1009990073]
1339.06.16={holder=1019910668} #Pakak[1009990073]
1367.07.13={holder=1019910672} #Arjalinerk[1009990073]
