744.1.1={holder=1019915567} #Tunis[1009990123]
794.07.17={holder=1019915568} #Bukongehelas[1009990123]
800.01.31={holder=1019915572} #Quenaghtoothmait[1009990123]
836.05.22={holder=1019915574} #Kkoquethagechton[1009990123]
875.06.26={holder=1019915581} #Rockatowah[1009990123]
903.07.22={holder=1019915586} #Kithteeleland[1009990123]
942.11.25={holder=1019915592} #Kechkawhanund[1009990123]
946.05.28={holder=1019915599} #Bukongehelas[1009990123]
981.09.29={holder=1019915601} #Alimee[1009990123]
989.04.07={holder=1019915605} #Caghkoo[1009990123]
1018.09.27={holder=1019915609} #Quacornowha[1009990123]
1040.09.25={holder=1019915612} #Neconhecon[1009990123]
1080.05.25={holder=1019915616} #Quacornowha[1009990123]
1124.10.15={holder=1019915617} #Quenaghtoothmait[1009990123]
1132.12.16={holder=1019915619} #Bukongehelas[1009990123]
1142.01.30={holder=1019915624} #Buckongahelas[1009990123]
1201.09.03={holder=1019915627} #Quacornowha[1009990123]
1203.02.16={holder=1019915630} #Neconhecon[1009990123]
1245.05.24={holder=1019915634} #Kkoquethagechton[1009990123]
1253.06.17={holder=1019915641} #Pondoxy[1009990123]
1295.02.08={holder=1019915643} #Kockkatowha[1009990123]
1307.12.19={holder=1019915648} #Queshatowha[1009990123]
1331.03.26={holder=1019915651} #Hopocan[1009990123]
1384.07.11={holder=1019915657} #Neconhecond[1009990123]
1393.11.23={holder=1019915662} #Pondoxy[1009990123]
