744.1.1={holder=1019910196} #Kanguyak[1009990069]
763.07.16={holder=1019910197} #Makpigat[1009990069]
817.03.04={holder=1019910200} #Nauja[1009990069]
819.04.01={holder=1019910209} #Kakortok[1009990069]
865.01.05={holder=1019910210} #Tanaraq[1009990069]
865.06.04={holder=1019910216} #Arjalinerk[1009990069]
915.01.28={holder=1019910217} #Koko[1009990069]
935.03.14={holder=1019910220} #Imnek[1009990069]
967.01.30={holder=1019910224} #Tingenek[1009990069]
987.10.20={holder=1019910229} #Uukkarnit[1009990069]
1026.04.17={holder=1019910232} #Anuun[1009990069]
1042.07.03={holder=1019910234} #Irdlirvirisissong[1009990069]
1078.10.15={holder=1019910241} #Nilak[1009990069]
1086.04.08={holder=1019910248} #Tupilek[1009990069]
1116.10.24={holder=1019910253} #Kilalurak[1009990069]
1149.05.22={holder=1019910257} #Qeorvik[1009990069]
1181.10.30={holder=1019910262} #Inungoark[1009990069]
1204.04.27={holder=1019910265} #Issudlerk[1009990069]
1215.02.16={holder=1019910269} #Qatiichii[1009990069]
1262.04.30={holder=1019910271} #Kannoyak[1009990069]
1257.04.12={holder=1019910275} #Injuquaq[1009990069]
1301.06.25={holder=1019910282} #Qatiichii[1009990069]
1326.04.21={holder=1019910287} #Aglakti[1009990069]
1336.11.09={holder=1019910289} #Ukluk[1009990069]
1368.12.05={holder=1019910292} #Mumk[1009990069]

