745.1.1={holder=1019913071} #Atiku[1009990098]
779.07.01={holder=1019913072} #Napeutiku[1009990098]
825.11.19={holder=1019913076} #Mishtauiapeu[1009990098]
853.05.18={holder=1019913080} #Ussinitshishu[1009990098]
857.01.09={holder=1019913086} #Utshimauapeu[1009990098]
891.01.07={holder=1019913088} #Minutshinishkuess[1009990098]
896.05.11={holder=1019913092} #Kaniuekutat[1009990098]
918.05.05={holder=1019913097} #Mishen[1009990098]
938.09.17={holder=1019913101} #Natupaniu[1009990098]
976.11.23={holder=1019913104} #Uitshitshimushish[1009990098]
990.09.17={holder=1019913108} #Kapapisht[1009990098]
1029.02.25={holder=1019913113} #Manitesh[1009990098]
1042.07.19={holder=1019913120} #Upinau[1009990098]
1054.04.27={holder=1019913126} #Uashaunnu[1009990098]
1092.10.22={holder=1019913131} #Uitshitshimushish[1009990098]
1135.04.07={holder=1019913134} #Katshipunasht[1009990098]
1155.03.25={holder=1019913141} #Natupaniu[1009990098]
1174.01.08={holder=1019913145} #Tshimushuminu[1009990098]
1184.11.01={holder=1019913149} #Uemishtikushiss[1009990098]
1235.12.31={holder=1019913152} #Kapapisht[1009990098]
1245.04.01={holder=1019913154} #Uitshitshimushish[1009990098]
1254.02.03={holder=1019913165} #Tshakashue[1009990098]
1295.02.09={holder=1019913166} #Mishta-Napesh[1009990098]
1312.02.12={holder=1019913169} #Pienshak[1009990098]
1341.09.14={holder=1019913170} #Mitshishu[1009990098]
