745.1.1={holder=1019917590} #[1009990143]
788.06.07={holder=1019917591} #Nashitt[1009990143]
797.07.24={holder=1019917596} #Shushepis[1009990143]
829.02.11={holder=1019917601} #Shenakuteu[1009990143]
850.03.27={holder=1019917604} #Uapannish[1009990143]
898.11.13={holder=1019917606} #Kaniuekutat[1009990143]
916.08.05={holder=1019917609} #Etutikueu[1009990143]
946.02.22={holder=1019917615} #Kueskapeu[1009990143]
981.07.07={holder=1019917621} #Tshetshepateu[1009990143]
1006.07.26={holder=1019917624} #Shimish[1009990143]
1042.11.09={holder=1019917629} #Shinapiu[1009990143]
1046.05.18={holder=1019917634} #Nuke[1009990143]
1057.11.24={holder=1019917641} #Katshituask[1009990143]
1107.11.12={holder=1019917644} #Kenussemu[1009990143]
1150.06.28={holder=1019917648} #Ustinitshu[1009990143]
1160.02.05={holder=1019917652} #Manuk[1009990143]
1187.10.27={holder=1019917658} #Muskushish[1009990143]
1227.09.21={holder=1019917660} #Kanikuen[1009990143]
1250.07.19={holder=1019917664} #Tshenish[1009990143]
1296.03.25={holder=1019917670} #Katshituask[1009990143]
1310.03.18={holder=1019917674} #Kanikuen[1009990143]
1333.06.24={holder=1019917680} #Manuk[1009990143]
1373.07.24={holder=1019917682} #Ponas[1009990143]
1407.01.17={holder=1019917690} #Nashitt[1009990143]
1431.06.13={holder=1019917693} #Tshenish[1009990143]
