745.1.1={holder=1019923691} #Coyllas[1009990205]
785.04.17={holder=1019923692} #Yamqui[1009990205]
808.11.05={holder=1019923695} #Sopa[1009990205]
845.01.07={holder=1019923702} #Ruminavi[1009990205]
860.06.23={holder=1019923706} #Yamqui[1009990205]
895.07.18={holder=1019923713} #Ninan[1009990205]
896.05.19={holder=1019923717} #Mayta[1009990205]
930.09.16={holder=1019923721} #Curiatao[1009990205]
964.12.07={holder=1019923727} #Marcavilca[1009990205]
991.08.11={holder=1019923730} #Guaritopa[1009990205]
1021.03.25={holder=1019923736} #Anquimarca[1009990205]
1060.08.06={holder=1019923739} #Varanca[1009990205]
1071.08.30={holder=1019923744} #Quispe[1009990205]
1104.01.26={holder=1019923748} #Surandaman[1009990205]
1123.11.26={holder=1019923752} #Surandaman[1009990205]
1155.09.19={holder=1019923755} #Cayo[1009990205]
1193.02.15={holder=1019923758} #Curiatao[1009990205]
1228.09.29={holder=1019923765} #Huaypalcon[1009990205]
1232.06.30={holder=1019923768} #Umu[1009990205]
1236.12.26={holder=1019923771} #Pascac[1009990205]
1286.04.30={holder=1019923774} #Usca[1009990205]
1291.06.11={holder=1019923778} #Huaypalcon[1009990205]
1325.07.06={holder=1019923783} #Sahuaraura[1009990205]
1371.06.01={holder=1019923786} #Orco[1009990205]
1391.06.10={holder=1019923791} #Usca[1009990205]
