745.1.1={holder=1019914171} #Shimiu[1009990109]
779.01.28={holder=1019914172} #Kaniuekutat[1009990109]
814.09.25={holder=1019914179} #Shinipesht[1009990109]
816.01.11={holder=1019914182} #Kutshinapess[1009990109]
864.09.29={holder=1019914187} #Uatshitshish[1009990109]
867.01.28={holder=1019914191} #Utshimauapeu[1009990109]
897.04.27={holder=1019914194} #Maniteu[1009990109]
926.09.23={holder=1019914198} #Tshakashue[1009990109]
949.02.07={holder=1019914200} #Mishta-Napesh[1009990109]
976.11.05={holder=1019914206} #Pitan[1009990109]
1010.04.24={holder=1019914208} #Tanien[1009990109]
1013.03.10={holder=1019914214} #Pikutushan[1009990109]
1043.08.01={holder=1019914215} #Kapinien[1009990109]
1071.10.20={holder=1019914217} #Shanti[1009990109]
1125.08.05={holder=1019914222} #Uniam[1009990109]
1125.12.06={holder=1019914225} #Akuaukusht[1009990109]
1172.06.28={holder=1019914227} #Shapatish[1009990109]
1178.01.03={holder=1019914231} #Shushep[1009990109]
1210.06.15={holder=1019914235} #Aissimess[1009990109]
1224.08.26={holder=1019914243} #Tshishkuetutsheunnu[1009990109]
1247.04.29={holder=1019914245} #Manitesh[1009990109]
1286.04.10={holder=1019914248} #Pienshak[1009990109]
1304.02.17={holder=1019914250} #Napess[1009990109]
1343.09.22={holder=1019914254} #Pienshak[1009990109]
1344.08.10={holder=1019914257} #Kutshinapess[1009990109]
