b_elkhart;Elkhart;;;;;;;;;;;;;x
b_elkhart-ii;Osceola;;;;;;;;;;;;;x
b_elkhart-iii;Wakarusa;;;;;;;;;;;;;x
b_elkhart-iv;Mishawaka;;;;;;;;;;;;;x
b_lansing;Lansing;;;;;;;;;;;;;x
b_lansing-ii;Eagle;;;;;;;;;;;;;x
b_lansing-iii;Manson;;;;;;;;;;;;;x
b_lansing-iv;Waverly;;;;;;;;;;;;;x
b_petoskey;Petoskey;;;;;;;;;;;;;x
b_petoskey-ii;Bay View;;;;;;;;;;;;;x
b_petoskey-iii;Odawa;;;;;;;;;;;;;x
b_petoskey-iv;Bay Shore;;;;;;;;;;;;;x
b_plymouth;Plymouth;;;;;;;;;;;;;x
b_plymouth-ii;Woolwell;;;;;;;;;;;;;x
b_plymouth-iii;Efford;;;;;;;;;;;;;x
b_plymouth-iv;Milehouse;;;;;;;;;;;;;x
b_warsaw;Warsaw;;;;;;;;;;;;;x
b_warsaw-ii;Monoquet;;;;;;;;;;;;;x
b_warsaw-iii;Winona;;;;;;;;;;;;;x
b_warsaw-iv;Oswego;;;;;;;;;;;;;x
b_kokomo;Kokomo;;;;;;;;;;;;;x
b_kokomo-ii;Oakford;;;;;;;;;;;;;x
b_kokomo-iii;cassville;;;;;;;;;;;;;x
b_kokomo-iv;Kempton;;;;;;;;;;;;;x
b_whiteoak;Whiteoak;;;;;;;;;;;;;x
b_whiteoak-ii;Mowrystown;;;;;;;;;;;;;x
b_whiteoak-iii;Buford;;;;;;;;;;;;;x
b_whiteoak-iv;Hoagland;;;;;;;;;;;;;x
b_valparaiso;Valparaiso;;;;;;;;;;;;;x
b_valparaiso-ii;Sedley;;;;;;;;;;;;;x
b_valparaiso-iii;Aberdeen;;;;;;;;;;;;;x
b_valparaiso-iv;Wanatah;;;;;;;;;;;;;x
b_lafayette;Lafayette;;;;;;;;;;;;;x
b_lafayette-ii;Shadeland;;;;;;;;;;;;;x
b_lafayette-iii;Otterbein;;;;;;;;;;;;;x
b_lafayette-iv;Buck creek;;;;;;;;;;;;;x
b_greenbay;Green Bay;;;;;;;;;;;;;x
b_greenbay-ii;Ashwaubenon;;;;;;;;;;;;;x
b_greenbay-iii;Suamico;;;;;;;;;;;;;x
b_greenbay-iv;Oneida;;;;;;;;;;;;;x
b_marquette;Marquette;;;;;;;;;;;;;x
b_marquette-ii;Harvey;;;;;;;;;;;;;x
b_marquette-iii;Negaunee;;;;;;;;;;;;;x
b_marquette-iv;Ishpeming;;;;;;;;;;;;;x
b_ontonagon;Ontonagon;;;;;;;;;;;;;x
b_ontonagon-ii;Firesteel;;;;;;;;;;;;;x
b_ontonagon-iii;Green;;;;;;;;;;;;;x
b_ontonagon-iv;Rockland;;;;;;;;;;;;;x
b_springfield;Springfield;;;;;;;;;;;;;x
b_springfield-ii;Elwood;;;;;;;;;;;;;x
b_springfield-iii;Nixa;;;;;;;;;;;;;x
b_springfield-iv;Ozark;;;;;;;;;;;;;x
b_marion;cahokia;;;;;;;;;;;;;x
b_marion-ii;St. Louis;;;;;;;;;;;;;x
b_marion-iii;Wood River;;;;;;;;;;;;;x
b_marion-iv;Shiloh;;;;;;;;;;;;;x
b_marion-v;clayton;;;;;;;;;;;;;x
b_marion-vi;Brentwood;;;;;;;;;;;;;x
b_marion-vii;Jennings;;;;;;;;;;;;;x
b_wamego;Wamego;;;;;;;;;;;;;x
b_wamego-ii;Wabaunsee;;;;;;;;;;;;;x
b_wamego-iii;St George;;;;;;;;;;;;;x
b_wamego-iv;Louisville;;;;;;;;;;;;;x
b_littlerock;Littlerock;;;;;;;;;;;;;x
b_littlerock-ii;cammack;;;;;;;;;;;;;x
b_littlerock-iii;Oak Forest;;;;;;;;;;;;;x
b_littlerock-iv;Sherwood;;;;;;;;;;;;;x
b_redoak;Red Oak;;;;;;;;;;;;;x
b_redoak-ii;Pecan Hill;;;;;;;;;;;;;x
b_redoak-iii;Oak Leaf;;;;;;;;;;;;;x
b_redoak-iv;Lancaster;;;;;;;;;;;;;x
b_chicago;chicago;;;;;;;;;;;;;x
b_chicago-ii;Oak Lawn;;;;;;;;;;;;;x
b_chicago-iii;Schererville;;;;;;;;;;;;;x
b_chicago-iv;Deerfield;;;;;;;;;;;;;x
b_minocqua;Minocqua;;;;;;;;;;;;;x
b_minocqua-ii;Woodruff;;;;;;;;;;;;;x
b_minocqua-iii;Hazelhurst;;;;;;;;;;;;;x
b_minocqua-iv;Rantz;;;;;;;;;;;;;x
b_rockford;Rockford;;;;;;;;;;;;;x
b_rockford-ii;Woodcrest;;;;;;;;;;;;;x
b_rockford-iii;Westmoreland;;;;;;;;;;;;;x
b_rockford-iv;Winnebago;;;;;;;;;;;;;x
b_omaha;Omaha;;;;;;;;;;;;;x
b_omaha-ii;Sherman;;;;;;;;;;;;;x
b_omaha-iii;Underwood;;;;;;;;;;;;;x
b_omaha-iv;Boys Town;;;;;;;;;;;;;x
b_watersmeet;Watersmeet;;;;;;;;;;;;;x
b_watersmeet-ii;Land O' Lakes;;;;;;;;;;;;;x
b_watersmeet-iii;Paulding;;;;;;;;;;;;;x
b_watersmeet-iv;Northwoods;;;;;;;;;;;;;x
b_walnut_shawneek;Walnut;;;;;;;;;;;;;x
b_walnut_shawneek_ii;Tecumseh;;;;;;;;;;;;;x
b_walnut_shawneek_iii;Meeker;;;;;;;;;;;;;x
b_farhaven;Farhaven;;;;;;;;;;;;;x
b_farhaven_ii;Acushnet;;;;;;;;;;;;;x
b_farhaven_iii;Mattapoisett;;;;;;;;;;;;;x
b_summersfield;Summersfield;;;;;;;;;;;;;x
b_summersfield_ii;Batesville;;;;;;;;;;;;;x
b_summersfield_iii;Salesville;;;;;;;;;;;;;x
b_eton;Eton;;;;;;;;;;;;;x
b_eton_ii;chatsworth;;;;;;;;;;;;;x
b_eton_iii;crandall;;;;;;;;;;;;;x
b_eton_iv;Spring Place;;;;;;;;;;;;;x
b_blue_ridge;Blue Ridge;;;;;;;;;;;;;x
b_blue_ridge_ii;Morganton;;;;;;;;;;;;;x
b_blue_ridge_iii;cherry Log;;;;;;;;;;;;;x
b_blue_ridge_iv;Aska;;;;;;;;;;;;;x
b_mineral_bluff;Mineral Bluff;;;;;;;;;;;;;x
b_mineral_bluff_ii;Hemp;;;;;;;;;;;;;x
b_mineral_bluff_iii;Pleasant Hill;;;;;;;;;;;;;x
b_mineral_bluff_iv;Epworth;;;;;;;;;;;;;x
